Codigo,Descripcion,DescAdic,Familia,CodBarra,Marca
0101071520,5110LO T85 ROJO,CONJUNTO,LENCERIA,L5110 85 RJ,LODY
0101071530,5110LO T90 BLANCO,CONJUNTO,LENCERIA,L5110 90 B,LODY
0101071540,5110LO T90 NEGRO,CONJUNTO,LENCERIA,L5110 90 N,LODY
0101071550,5110LO T90 ROJO,CONJUNTO,LENCERIA,L5110 90 RJ,LODY
0101071560,5110LO T95 BLANCO,CONJUNTO,LENCERIA,L5110 95 B,LODY
0101071570,5110LO T95 NEGRO,CONJUNTO,LENCERIA,L5110 95 N,LODY
0101071580,5110LO T95 ROJO,CONJUNTO,LENCERIA,L5110 95 RJ,LODY
0101071590,5114LO T85 AZUL,CONJUNTO,LENCERIA,L5114 85 AZ,LODY
0101071600,5114LO T85 BLANCO,CONJUNTO,LENCERIA,L5114 85 B,LODY
0101071610,5114LO T85 NEGRO,CONJUNTO,LENCERIA,L5114 85 N,LODY
0101071620,5114LO T85 VERDE MENTA,CONJUNTO,LENCERIA,L5114 85 VMN,LODY
0101071630,5114LO T90 AZUL,CONJUNTO,LENCERIA,L5114 90 AZ,LODY
0101071640,5114LO T90 BLANCO,CONJUNTO,LENCERIA,L5114 90 B,LODY
0101071650,5114LO T90 NEGRO,CONJUNTO,LENCERIA,L5114 90 N,LODY
0101071660,5114LO T90 VERDE MENTA,CONJUNTO,LENCERIA,L5114 90 VMN,LODY
0101071670,5114LO T95 AZUL,CONJUNTO,LENCERIA,L5114 95 AZ,LODY
0101071680,5114LO T95 BLANCO,CONJUNTO,LENCERIA,L5114 95 B,LODY
0101071690,5114LO T95 NEGRO,CONJUNTO,LENCERIA,L5114 95 N,LODY
0101071700,5114LO T95 VERDE MENTA,CONJUNTO,LENCERIA,L5114 95 VMN,LODY
0101071710,5121LO T100 BLANCO,CONJUNTO,LENCERIA,L5121 100 B,LODY
0101071720,5121LO T100 HUESO,CONJUNTO,LENCERIA,L5121 100 HS,LODY
0101071730,5121LO T100 NEGRO,CONJUNTO,LENCERIA,L5121 100 N,LODY
0101071740,5121LO T100 SALMON,CONJUNTO,LENCERIA,L5121 100 SA,LODY
0101071750,5121LO T85 BLANCO,CONJUNTO,LENCERIA,L5121 85 B,LODY
0101071760,5121LO T85 HUESO,CONJUNTO,LENCERIA,L5121 85 HS,LODY
0101071770,5121LO T85 NEGRO,CONJUNTO,LENCERIA,L5121 85 N,LODY
0101071780,5121LO T85 SALMON,CONJUNTO,LENCERIA,L5121 85 SA,LODY
0101071790,5121LO T90 BLANCO,CONJUNTO,LENCERIA,L5121 90 B,LODY
0101071800,5121LO T90 HUESO,CONJUNTO,LENCERIA,L5121 90 HS,LODY
0101071810,5121LO T90 NEGRO,CONJUNTO,LENCERIA,L5121 90 N,LODY
0101071820,5121LO T90 SALMON,CONJUNTO,LENCERIA,L5121 90 SA,LODY
0101071830,5121LO T95 BLANCO,CONJUNTO,LENCERIA,L5121 95 B,LODY
0101071840,5121LO T95 HUESO,CONJUNTO,LENCERIA,L5121 95 HS,LODY
0101071850,5121LO T95 NEGRO,CONJUNTO,LENCERIA,L5121 95 N,LODY
0101071860,5121LO T95 SALMON,CONJUNTO,LENCERIA,L5121 95 SA,LODY
0101071870,5126LO T85 BLANCO,CONJUNTO,LENCERIA,L5126 85 B,LODY
0101071880,5126LO T85 NEGRO,CONJUNTO,LENCERIA,L5126 85 N,LODY
0101071890,5126LO T85 ROJO,CONJUNTO,LENCERIA,L5126 85 R,LODY
0101071900,5126LO T90 BLANCO,CONJUNTO,LENCERIA,L5126 90 B,LODY
0101071910,5126LO T90 NEGRO,CONJUNTO,LENCERIA,L5126 90 N,LODY
0101071920,5126LO T90 ROJO,CONJUNTO,LENCERIA,L5126 90 R,LODY
0101071930,5126LO T95 BLANCO,CONJUNTO,LENCERIA,L5126 95 B,LODY
0101071940,5126LO T95 NEGRO,CONJUNTO,LENCERIA,L5126 95 N,LODY
0101071950,5126LO T95 ROJO,CONJUNTO,LENCERIA,L5126 95 R,LODY
0101071960,5127LO T85 BLANCO,CONJUNTO,LENCERIA,L5127 85 B,LODY
0101071970,5127LO T85 HUESO/NEGRO,CONJUNTO,LENCERIA,L5127 85 N,LODY
0101071980,5127LO T85 PETROLEO/HUESO,CONJUNTO,LENCERIA,L5127 85 PE,LODY
0101071990,5127LO T85 ROSA-CHICLE,CONJUNTO,LENCERIA,L5127 85 RCH,LODY
0101072000,5127LO T90 BLANCO,CONJUNTO,LENCERIA,L5127 90 B,LODY
0101072010,5127LO T90 HUESO/NEGRO,CONJUNTO,LENCERIA,L5127 90 N,LODY
0101072020,5127LO T90 PETROLEO/HUESO,CONJUNTO,LENCERIA,L5127 90 PE,LODY
0101072030,5127LO T90 ROSA-CHICLE,CONJUNTO,LENCERIA,L5127 90 RCH,LODY
0101072040,5127LO T95 BLANCO,CONJUNTO,LENCERIA,L5127 95 B,LODY
0101072050,5127LO T95 HUESO/NEGRO,CONJUNTO,LENCERIA,L5127 95 N,LODY
0101072060,5127LO T95 PETROLEO/HUESO,CONJUNTO,LENCERIA,L5127 95 PE,LODY
0101072070,5127LO T95 ROSA-CHICLE,CONJUNTO,LENCERIA,L5127 95 RCH,LODY
0101072080,5136LO T100 UNICO,CONJUNTO,LENCERIA,L5136 100 UN,LODY
0101072090,5136LO T85 UNICO,CONJUNTO,LENCERIA,L5136 85 UN,LODY
0101072100,5136LO T90 UNICO,CONJUNTO,LENCERIA,L5136 90 UN,LODY
0101072110,5136LO T95 UNICO,CONJUNTO,LENCERIA,L5136 95 UN,LODY
0101072120,5140LO T85 NEGRO,CONJUNTO,LENCERIA,L5140 85 NG,LODY
0101072130,5140LO T85 VISON,CONJUNTO,LENCERIA,L5140 85 VN,LODY
0101072140,5140LO T90 NEGRO,CONJUNTO,LENCERIA,L5140 90 NG,LODY
0101072150,5140LO T90 VISON,CONJUNTO,LENCERIA,L5140 90 VN,LODY
0101072160,5140LO T95 NEGRO,CONJUNTO,LENCERIA,L5140 95 NG,LODY
0101072170,5140LO T95 VISON,CONJUNTO,LENCERIA,L5140 95 VN,LODY
0101072180,5144LO T100 BLANCO,CONJUNTO,LENCERIA,L5144 100 B,LODY
0101072190,5144LO T100 HUESO,CONJUNTO,LENCERIA,L5144 100 HS,LODY
0101072200,5144LO T100 NEGRO,CONJUNTO,LENCERIA,L5144 100 N,LODY
0101072210,5144LO T100 ROSA-CHICLE,CONJUNTO,LENCERIA,L5144 100 RCH,LODY
0101072220,5144LO T100 VERDE MENTA,CONJUNTO,LENCERIA,L5144 100 VMN,LODY
0101072230,5144LO T100 VISON,CONJUNTO,LENCERIA,L5144 100 VN,LODY
0101072240,5144LO T85 BLANCO,CONJUNTO,LENCERIA,L5144 85 B,LODY
0101072250,5144LO T85 HUESO,CONJUNTO,LENCERIA,L5144 85 HS,LODY
0101072260,5144LO T85 NEGRO,CONJUNTO,LENCERIA,L5144 85 N,LODY
0101072270,5144LO T85 ROSA-CHICLE,CONJUNTO,LENCERIA,L5144 85 RCH,LODY
0101072280,5144LO T85 VERDE MENTA,CONJUNTO,LENCERIA,L5144 85 VMN,LODY
0101072290,5144LO T85 VISON,CONJUNTO,LENCERIA,L5144 85 VN,LODY
0101072300,5144LO T90 BLANCO,CONJUNTO,LENCERIA,L5144 90 B,LODY
0101072310,5144LO T90 HUESO,CONJUNTO,LENCERIA,L5144 90 HS,LODY
0101072320,5144LO T90 NEGRO,CONJUNTO,LENCERIA,L5144 90 N,LODY
0101072330,5144LO T90 ROSA-CHICLE,CONJUNTO,LENCERIA,L5144 90 RCH,LODY
0101072340,5144LO T90 ROJO,CONJUNTO,LENCERIA,L5144 90 RJ,LODY
0101072350,5144LO T90 VERDE MENTA,CONJUNTO,LENCERIA,L5144 90 VMN,LODY
0101072360,5144LO T90 VISON,CONJUNTO,LENCERIA,L5144 90 VN,LODY
0101072370,5144LO T95 BLANCO,CONJUNTO,LENCERIA,L5144 95 B,LODY
0101072380,5144LO T95 HUESO,CONJUNTO,LENCERIA,L5144 95 HS,LODY
0101072390,5144LO T95 NEGRO,CONJUNTO,LENCERIA,L5144 95 N,LODY
0101072400,5144LO T95 ROSA-CHICLE,CONJUNTO,LENCERIA,L5144 95 RCH,LODY
0101072410,5144LO T95 VERDE MENTA,CONJUNTO,LENCERIA,L5144 95 VMN,LODY
0101072420,5144LO T95 VISON,CONJUNTO,LENCERIA,L5144 95 VN,LODY
0101072430,5145LO T100 BLANCO,CONJUNTO,LENCERIA,L5145 100 B,LODY
0101072440,5145LO T100 HUESO,CONJUNTO,LENCERIA,L5145 100 HS,LODY
0101072450,5145LO T100 NEGRO,CONJUNTO,LENCERIA,L5145 100 NG,LODY
0101072460,5145LO T100 ROSA-CHICLE,CONJUNTO,LENCERIA,L5145 100 RCH,LODY
0101072470,5145LO T100 VERDE MENTA,CONJUNTO,LENCERIA,L5145 100 VMN,LODY
0101072480,5145LO T100 VISON,CONJUNTO,LENCERIA,L5145 100 VN,LODY
0101072490,5145LO T85 BLANCO,CONJUNTO,LENCERIA,L5145 85 B,LODY
0101072500,5145LO T85 HUESO,CONJUNTO,LENCERIA,L5145 85 HS,LODY
0101072510,5145LO T85 NEGRO,CONJUNTO,LENCERIA,L5145 85 NG,LODY
0101072520,5145LO T85 ROSA-CHICLE,CONJUNTO,LENCERIA,L5145 85 RCH,LODY
0101072530,5145LO T85 VERDE MENTA,CONJUNTO,LENCERIA,L5145 85 VMN,LODY
0101072540,5145LO T85 VISON,CONJUNTO,LENCERIA,L5145 85 VN,LODY
0101072550,5145LO T90 BLANCO,CONJUNTO,LENCERIA,L5145 90 B,LODY
0101072560,5145LO T90 HUESO,CONJUNTO,LENCERIA,L5145 90 HS,LODY
0101072570,5145LO T90 NEGRO,CONJUNTO,LENCERIA,L5145 90 NG,LODY
0101072580,5145LO T90 ROSA-CHICLE,CONJUNTO,LENCERIA,L5145 90 RCH,LODY
0101072590,5145LO T90 VERDE MENTA,CONJUNTO,LENCERIA,L5145 90 VMN,LODY
0101072600,5145LO T90 VISON,CONJUNTO,LENCERIA,L5145 90 VN,LODY
0101072610,5145LO T95 BLANCO,CONJUNTO,LENCERIA,L5145 95 B,LODY
0101072620,5145LO T95 HUESO,CONJUNTO,LENCERIA,L5145 95 HS,LODY
0101072630,5145LO T95 NEGRO,CONJUNTO,LENCERIA,L5145 95 NG,LODY
0101072640,5145LO T95 ROSA-CHICLE,CONJUNTO,LENCERIA,L5145 95 RCH,LODY
0101072650,5145LO T95 VERDE MENTA,CONJUNTO,LENCERIA,L5145 95 VMN,LODY
0101072660,5145LO T95 VISON,CONJUNTO,LENCERIA,L5145 95 VN,LODY
0101072670,5145 T.95 NEGRO,CONJUNTO,LENCERIA,L514595NG,LODY
0101072680,5153LO T85 BLANCO,CONJUNTO,LENCERIA,L5153 85 B,LODY
0101072690,5153LO T85 HUESO,CONJUNTO,LENCERIA,L5153 85 HS,LODY
0101072700,5153LO T85 NEGRO,CONJUNTO,LENCERIA,L5153 85 N,LODY
0101072710,5153LO T85 ROJO,CONJUNTO,LENCERIA,L5153 85 RJ,LODY
0101072720,5153LO T85 SALMON,CONJUNTO,LENCERIA,L5153 85 SA,LODY
0101072730,5153LO T85 VISON,CONJUNTO,LENCERIA,L5153 85 VN,LODY
0101072740,5153LO T90 BLANCO,CONJUNTO,LENCERIA,L5153 90 B,LODY
0101072750,5153LO T90 HUESO,CONJUNTO,LENCERIA,L5153 90 HS,LODY
0101072760,5153LO T90 NEGRO,CONJUNTO,LENCERIA,L5153 90 N,LODY
0101072770,5153LO T90 ROJO,CONJUNTO,LENCERIA,L5153 90 RJ,LODY
0101072780,5153LO T90 SALMON,CONJUNTO,LENCERIA,L5153 90 SA,LODY
0101072790,5153LO T90 VISON,CONJUNTO,LENCERIA,L5153 90 VN,LODY
0101072800,5153LO T95 BLANCO,CONJUNTO,LENCERIA,L5153 95 B,LODY
0101072810,5153LO T95 HUESO,CONJUNTO,LENCERIA,L5153 95 HS,LODY
0101072820,5153LO T95 NEGRO,CONJUNTO,LENCERIA,L5153 95 N,LODY
0101072830,5153LO T95 ROJO,CONJUNTO,LENCERIA,L5153 95 RJ,LODY
0101072840,5153LO T95 SALMON,CONJUNTO,LENCERIA,L5153 95 SA,LODY
0101072850,5153LO T95 VISON,CONJUNTO,LENCERIA,L5153 95 VN,LODY
0101072860,5154LO T100 BLANCO,CONJUNTO,LENCERIA,L5154 100 B,LODY
0101072870,5154LO T100 HUESO,CONJUNTO,LENCERIA,L5154 100 H,LODY
0101072880,5154LO T100 NEGRO,CONJUNTO,LENCERIA,L5154 100 N,LODY
0101072890,5154LO T100 ROJO,CONJUNTO,LENCERIA,L5154 100 RJ,LODY
0101072900,5154LO T100 SALMON,CONJUNTO,LENCERIA,L5154 100 SA,LODY
0101072910,5154LO T100 VISON,CONJUNTO,LENCERIA,L5154 100 VN,LODY
0101072920,5154LO T85 BLANCO,CONJUNTO,LENCERIA,L5154 85 B,LODY
0101072930,5154LO T85 HUESO,CONJUNTO,LENCERIA,L5154 85 H,LODY
0101072940,5154LO T85 NEGRO,CONJUNTO,LENCERIA,L5154 85 N,LODY
0101072950,5154LO T85 ROJO,CONJUNTO,LENCERIA,L5154 85 RJ,LODY
0101072960,5154LO T85 SALMON,CONJUNTO,LENCERIA,L5154 85 SA,LODY
0101072970,5154LO T85 VISON,CONJUNTO,LENCERIA,L5154 85 VN,LODY
0101072980,5154LO T90 BLANCO,CONJUNTO,LENCERIA,L5154 90 B,LODY
0101072990,5154LO T90 HUESO,CONJUNTO,LENCERIA,L5154 90 H,LODY
0101073000,5154LO T90 NEGRO,CONJUNTO,LENCERIA,L5154 90 N,LODY
0101073010,5154LO T90 ROJO,CONJUNTO,LENCERIA,L5154 90 RJ,LODY
0101073020,5154LO T90 SALMON,CONJUNTO,LENCERIA,L5154 90 SA,LODY
0101073030,5154LO T90 VISON,CONJUNTO,LENCERIA,L5154 90 VN,LODY
0101073040,5154LO T95 BLANCO,CONJUNTO,LENCERIA,L5154 95 B,LODY
0101073050,5154LO T95 HUESO,CONJUNTO,LENCERIA,L5154 95 H,LODY
0101073060,5154LO T95 NEGRO,CONJUNTO,LENCERIA,L5154 95 N,LODY
0101073070,5154LO T95 ROJO,CONJUNTO,LENCERIA,L5154 95 RJ,LODY
0101073080,5154LO T95 SALMON,CONJUNTO,LENCERIA,L5154 95 SAL,LODY
0101073090,5154LO T95 VISON,CONJUNTO,LENCERIA,L5154 95 VN,LODY
0101073100,5154LO T105 BLANCO,CONJUNTO,LENCERIA,L5154L1 105 B,LODY
0101073110,5154LO T105 HUESO,CONJUNTO,LENCERIA,L5154L1 105 HS,LODY
0101073120,5154LO T105 NEGRO,CONJUNTO,LENCERIA,L5154L1 105 NG,LODY
0101073130,5154LO T105 ROJO,CONJUNTO,LENCERIA,L5154L1 105 RJ,LODY
0101073140,5154LO T105 SALMON,CONJUNTO,LENCERIA,L5154L1 105 SA,LODY
0101073150,5154LO T105 VISON,CONJUNTO,LENCERIA,L5154L1 105 VN,LODY
0101073160,5154LO T110 BLANCO,CONJUNTO,LENCERIA,L5154L1 110 B,LODY
0101073170,5154LO T110 HUESO,CONJUNTO,LENCERIA,L5154L1 110 HS,LODY
0101073180,5154LO T110 NEGRO,CONJUNTO,LENCERIA,L5154L1 110 NG,LODY
0101073190,5154LO T110 ROJO,CONJUNTO,LENCERIA,L5154L1 110 RJ,LODY
0101073200,5154LO T110 SALMON,CONJUNTO,LENCERIA,L5154L1 110 SA,LODY
0101073210,5154LO T110 VISON,CONJUNTO,LENCERIA,L5154L1 110 VN,LODY
0101073220,5155LO T100 BLANCO,CONJUNTO,LENCERIA,L5155 100 B,LODY
0101073230,5155LO T100 HUESO,CONJUNTO,LENCERIA,L5155 100 H,LODY
0101073240,5155LO T100 NEGRO,CONJUNTO,LENCERIA,L5155 100 N,LODY
0101073250,5155LO T100 ROJO,CONJUNTO,LENCERIA,L5155 100 RJ,LODY
0101073260,5155LO T100 SALMON,CONJUNTO,LENCERIA,L5155 100 SA,LODY
0101073270,5155LO T100 VISON,CONJUNTO,LENCERIA,L5155 100 VN,LODY
0101073280,5155LO T85 BLANCO,CONJUNTO,LENCERIA,L5155 85 B,LODY
0101073290,5155LO T85 HUESO,CONJUNTO,LENCERIA,L5155 85 H,LODY
0101073300,5155LO T85 NEGRO,CONJUNTO,LENCERIA,L5155 85 N,LODY
0101073310,5155LO T85 ROJO,CONJUNTO,LENCERIA,L5155 85 RJ,LODY
0101073320,5155LO T85 SALMON,CONJUNTO,LENCERIA,L5155 85 SA,LODY
0101073330,5155LO T85 VISON,CONJUNTO,LENCERIA,L5155 85 VN,LODY
0101073340,5155LO T90 BLANCO,CONJUNTO,LENCERIA,L5155 90 B,LODY
0101073350,5155LO T90 HUESO,CONJUNTO,LENCERIA,L5155 90 H,LODY
0101073360,5155LO T90 NEGRO,CONJUNTO,LENCERIA,L5155 90 N,LODY
0101073370,5155LO T90 ROJO,CONJUNTO,LENCERIA,L5155 90 RJ,LODY
0101073380,5155LO T90 SALMON,CONJUNTO,LENCERIA,L5155 90 SA,LODY
0101073390,5155LO T90 VISON,CONJUNTO,LENCERIA,L5155 90 VN,LODY
0101073400,5155LO T95 BLANCO,CONJUNTO,LENCERIA,L5155 95 B,LODY
0101073410,5155LO T95 HUESO,CONJUNTO,LENCERIA,L5155 95 H,LODY
0101073420,5155LO T95 NEGRO,CONJUNTO,LENCERIA,L5155 95 N,LODY
0101073430,5155LO T95 ROJO,CONJUNTO,LENCERIA,L5155 95 RJ,LODY
0101073440,5155LO T95 SALMON,CONJUNTO,LENCERIA,L5155 95 SA,LODY
0101073450,5155LO T95 VISON,CONJUNTO,LENCERIA,L5155 95 VN,LODY
0101073460,5162LO T85 UNICO,CONJUNTO,LENCERIA,L5162 85 UN,LODY
0101073470,5162LO T90 UNICO,CONJUNTO,LENCERIA,L5162 90 UN,LODY
0101073480,5162LO T95 UNICO,CONJUNTO,LENCERIA,L5162 95 UN,LODY
0101073490,5164LO T100 BLANCO,CONJUNTO,LENCERIA,L5164 100 BCO,LODY
0101073500,5164LO T100 NEGRO,CONJUNTO,LENCERIA,L5164 100 NG,LODY
0101073510,5164LO T100 VISON,CONJUNTO,LENCERIA,L5164 100 VN,LODY
0101073520,5164LO T85 BLANCO,CONJUNTO,LENCERIA,L5164 85 BCO,LODY
0101073530,5164LO T85 NEGRO,CONJUNTO,LENCERIA,L5164 85 NG,LODY
0101073540,5164LO T85 VISON,CONJUNTO,LENCERIA,L5164 85 VN,LODY
0101073550,5164LO T90 BLANCO,CONJUNTO,LENCERIA,L5164 90 BCO,LODY
0101073560,5164LO T90 NEGRO,CONJUNTO,LENCERIA,L5164 90 NG,LODY
0101073570,5164LO T90 VISON,CONJUNTO,LENCERIA,L5164 90 VN,LODY
0101073580,5164LO T95 BLANCO,CONJUNTO,LENCERIA,L5164 95 BCO,LODY
0101073590,5164LO T95 NEGRO,CONJUNTO,LENCERIA,L5164 95 NG,LODY
0101073600,5164LO T95 VISON,CONJUNTO,LENCERIA,L5164 95 VN,LODY
0101073610,5171LO T85 CORAL,CONJUNTO,LENCERIA,L5171 85 CO,LODY
0101073620,5171LO T85 LILA,CONJUNTO,LENCERIA,L5171 85 LI,LODY
0101073630,5171LO T85 NARANJA,CONJUNTO,LENCERIA,L5171 85 NARJ,LODY
0101073640,5171LO T90 CORAL,CONJUNTO,LENCERIA,L5171 90 CO,LODY
0101073650,5171LO T90 LILA,CONJUNTO,LENCERIA,L5171 90 LI,LODY
0101073660,5171LO T90 NARANJA,CONJUNTO,LENCERIA,L5171 90 NARJ,LODY
0101073670,5171LO T95 CORAL,CONJUNTO,LENCERIA,L5171 95 CO,LODY
0101073680,5171LO T95 LILA,CONJUNTO,LENCERIA,L5171 95 LI,LODY
0101073690,5171LO T95 NARANJA,CONJUNTO,LENCERIA,L5171 95 NARJ,LODY
0101073700,5172LO T100 UNICO,CONJUNTO,LENCERIA,L5172 100 UN,LODY
0101073710,5172LO T85 UNICO,CONJUNTO,LENCERIA,L5172 85 UN,LODY
0101073720,5172LO T90 UNICO,CONJUNTO,LENCERIA,L5172 90 UN,LODY
0101073730,5172LO T95 UNICO,CONJUNTO,LENCERIA,L5172 95 UN,LODY
0101073740,5172 T.100 UNICO,CONJUNTO,LENCERIA,L5172100UN,LODY
0101073750,5177LO T100 UNICO,CONJUNTO,LENCERIA,L5177 100 UN,LODY
0101073760,5177LO T85 UNICO,CONJUNTO,LENCERIA,L5177 85 UN,LODY
0101073770,5177LO T90 UNICO,CONJUNTO,LENCERIA,L5177 90 UN,LODY
0101073780,5177LO T95 UNICO,CONJUNTO,LENCERIA,L5177 95 UN,LODY
0101073790,5179LO T85 UNICO,CONJUNTO,LENCERIA,L5179 85 UN,LODY
0101073800,5179LO T90 UNICO,CONJUNTO,LENCERIA,L5179 90 UN,LODY
0101073810,5179LO T95 UNICO,CONJUNTO,LENCERIA,L5179 95 UN,LODY
0101073820,5180LO T85 PETROLEO,CONJUNTO,LENCERIA,L5180 85 VDP,LODY
0101073830,5180LO T85 VIOLETA,CONJUNTO,LENCERIA,L5180 85 VIO,LODY
0101073840,5180LO T90 BLANCO,CONJUNTO,LENCERIA,L5180 90 BCO,LODY
0101073850,5180LO T90 PETROLEO,CONJUNTO,LENCERIA,L5180 90 VDP,LODY
0101073860,5180LO T90 VIOLETA,CONJUNTO,LENCERIA,L5180 90 VIO,LODY
0101073870,5180LO T95 BLANCO,CONJUNTO,LENCERIA,L5180 95 BCO,LODY
0101073880,5180LO T95 PETROLEO,CONJUNTO,LENCERIA,L5180 95 VDP,LODY
0101073890,5180LO T95 VIOLETA,CONJUNTO,LENCERIA,L5180 95 VIO,LODY
0101073900,5181LO T85 UNICO,CONJUNTO,LENCERIA,L5181 85 UN,LODY
0101073910,5181LO T90 UNICO,CONJUNTO,LENCERIA,L5181 90 UN,LODY
0101073920,5181LO T95 UNICO,CONJUNTO,LENCERIA,L5181 95 UN,LODY
0101073930,5196LO T85 FUCSIA,CONJUNTO,LENCERIA,L5196 85 FU,LODY
0101073940,5196LO T85 NARANJA,CONJUNTO,LENCERIA,L5196 85 NA,LODY
0101073950,5196LO T85 NEGRO,CONJUNTO,LENCERIA,L5196 85 NGLPL,LODY
0101073960,5196LO T85 UVA,CONJUNTO,LENCERIA,L5196 85 U,LODY
0101073970,5196LO T85 VERDE/VIOLETA,CONJUNTO,LENCERIA,L5196 85 VELVI,LODY
0101073980,5196LO T90 FUCSIA,CONJUNTO,LENCERIA,L5196 90 FU,LODY
0101073990,5196LO T90 NARANJA,CONJUNTO,LENCERIA,L5196 90 NA,LODY
0101074000,5196LO T90 NEGRO,CONJUNTO,LENCERIA,L5196 90 NGLPL,LODY
0101074010,5196LO T90 UVA,CONJUNTO,LENCERIA,L5196 90 U,LODY
0101074020,5196LO T90 VERDE/VIOLETA,CONJUNTO,LENCERIA,L5196 90 VELVI,LODY
0101074030,5196LO T95 FUCSIA,CONJUNTO,LENCERIA,L5196 95 FU,LODY
0101074040,5196LO T95 NARANJA,CONJUNTO,LENCERIA,L5196 95 NA,LODY
0101074050,5196LO T95 NEGRO,CONJUNTO,LENCERIA,L5196 95 NGLPL,LODY
0101074060,5196LO T95 UVA,CONJUNTO,LENCERIA,L5196 95 U,LODY
0101074070,5196LO T95 VERDE/VIOLETA,CONJUNTO,LENCERIA,L5196 95 VELVI,LODY
0101074080,5197LO T85 SALMON/NARANJA,CONJUNTO,LENCERIA,L5197 85 SN,LODY
0101074090,5197LO T85 VISON/PETROLEO,CONJUNTO,LENCERIA,L5197 85 VP,LODY
0101074100,5197LO T90 SALMON/NARANJA,CONJUNTO,LENCERIA,L5197 90 SN,LODY
0101074110,5197LO T90 VISON/PETROLEO,CONJUNTO,LENCERIA,L5197 90 VP,LODY
0101074120,5197LO T95 SALMON/NARANJA,CONJUNTO,LENCERIA,L5197 95 SN,LODY
0101074130,5197LO T95 VISON/PETROLEO,CONJUNTO,LENCERIA,L5197 95 VP,LODY
0101074140,5198LO T85 AZUL,CONJUNTO,LENCERIA,L5198 85 AZ,LODY
0101074150,5198LO T85 CORAL,CONJUNTO,LENCERIA,L5198 85 CO,LODY
0101074160,5198LO T90 AZUL,CONJUNTO,LENCERIA,L5198 90 AZ,LODY
0101074170,5198LO T90 CORAL,CONJUNTO,LENCERIA,L5198 90 CO,LODY
0101074180,5198LO T95 AZUL,CONJUNTO,LENCERIA,L5198 95 AZ,LODY
0101074190,5198LO T95 CORAL,CONJUNTO,LENCERIA,L5198 95 CO,LODY
0101074200,5198 T.85 AZUL,CONJUNTO,LENCERIA,L519885AZ,LODY
0101074210,5198 T.85 CORAL,CONJUNTO,LENCERIA,L519885CO,LODY
0101074220,5200LO T85 NEGRO,CONJUNTO,LENCERIA,L5200 85 NG,LODY
0101074240,5200LO T90 NEGRO,CONJUNTO,LENCERIA,L5200 90 NG,LODY
0101074250,5200LO T90 VISON,CONJUNTO,LENCERIA,L5200 90 VN,LODY
0101074260,5200LO T95 NEGRO,CONJUNTO,LENCERIA,L5200 95 NG,LODY
0101074270,5200LO T95 VISON,CONJUNTO,LENCERIA,L5200 95 VN,LODY
0101074280,5202LO T100 UNICO,CONJUNTO,LENCERIA,L5202 100 UN,LODY
0101074290,5202LO T85 UNICO,CONJUNTO,LENCERIA,L5202 85 UN,LODY
0101074300,5202LO T90 UNICO,CONJUNTO,LENCERIA,L5202 90 UN,LODY
0101074310,5202LO T95 UNICO,CONJUNTO,LENCERIA,L5202 95 UN,LODY
0101074320,5204LO T85 UNICO,CONJUNTO,LENCERIA,L5204 85 UN,LODY
0101074330,5204LO T90 UNICO,CONJUNTO,LENCERIA,L5204 90 UN,LODY
0101074340,5204LO T95 UNICO,CONJUNTO,LENCERIA,L5204 95 UN,LODY
0101074350,5205LO T85 UNICO,CONJUNTO,LENCERIA,L5205 85 UN,LODY
0101074360,5205LO T90 UNICO,CONJUNTO,LENCERIA,L5205 90 UN,LODY
0101074370,5205LO T95 UNICO,CONJUNTO,LENCERIA,L5205 95 UN,LODY
0101074380,5207LO T85 BLANCO,CONJUNTO,LENCERIA,L5207 85 BCO,LODY
0101074390,5207LO T85 HUESO,CONJUNTO,LENCERIA,L5207 85 HS,LODY
0101074400,5207LO T85 NEGRO,CONJUNTO,LENCERIA,L5207 85 NG,LODY
0101074410,5207LO T85 ROJO,CONJUNTO,LENCERIA,L5207 85 RJ,LODY
0101074420,5207LO T85 SALMON,CONJUNTO,LENCERIA,L5207 85 SAL,LODY
0101074430,5207LO T85 VISON,CONJUNTO,LENCERIA,L5207 85 VN,LODY
0101074440,5207LO T90 BLANCO,CONJUNTO,LENCERIA,L5207 90 BCO,LODY
0101074450,5207LO T90 HUESO,CONJUNTO,LENCERIA,L5207 90 HS,LODY
0101074460,5207LO T90 NEGRO,CONJUNTO,LENCERIA,L5207 90 NG,LODY
0101074470,5207LO T90 ROJO,CONJUNTO,LENCERIA,L5207 90 RJ,LODY
0101074480,5207LO T90 SALMON,CONJUNTO,LENCERIA,L5207 90 SAL,LODY
0101074490,5207LO T90 VISON,CONJUNTO,LENCERIA,L5207 90 VN,LODY
0101074500,5207LO T95 BLANCO,CONJUNTO,LENCERIA,L5207 95 BCO,LODY
0101074510,5207LO T95 HUESO,CONJUNTO,LENCERIA,L5207 95 HS,LODY
0101074520,5207LO T95 NEGRO,CONJUNTO,LENCERIA,L5207 95 NG,LODY
0101074530,5207LO T95 ROJO,CONJUNTO,LENCERIA,L5207 95 RJ,LODY
0101074540,5207LO T95 SALMON,CONJUNTO,LENCERIA,L5207 95 SAL,LODY
0101074550,5207LO T95 VISON,CONJUNTO,LENCERIA,L5207 95 VN,LODY
