virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc,Description,peso,Description
,coacoa-Art:1000.0,0702000010,,coacoa-Art-1000.0-0702000010,MEDIA,BLANCA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/Coa coa","1/2 CAÑA coacoa-Art:1000.0<br />MEDIA - BLANCA","1000.0 MEDIA BLANCA CALADA",1000,"1000.0 MEDIA BLANCA CALADA"
,coacoa-Art:1000.1,0702000020,,coacoa-Art-1000.1-0702000020,MEDIA,BLANCA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/Coa coa","1/2 CAÑA coacoa-Art:1000.1<br />MEDIA - BLANCA","1000.1 MEDIA BLANCA CALADA",1000,"1000.1 MEDIA BLANCA CALADA"
,coacoa-Art:1000.2,0702000030,,coacoa-Art-1000.2-0702000030,MEDIA,BLANCA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/Coa coa","1/2 CAÑA coacoa-Art:1000.2<br />MEDIA - BLANCA","1000.2 MEDIA BLANCA CALADA",1000,"1000.2 MEDIA BLANCA CALADA"
,coacoa-Art:1000.3,0702000040,,coacoa-Art-1000.3-0702000040,MEDIA,BLANCA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/Coa coa","1/2 CAÑA coacoa-Art:1000.3<br />MEDIA - BLANCA","1000.3 MEDIA BLANCA CALADA",1000,"1000.3 MEDIA BLANCA CALADA"
,coacoa-Art:1000.4,0702000050,,coacoa-Art-1000.4-0702000050,MEDIA,BLANCA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/Coa coa","1/2 CAÑA coacoa-Art:1000.4<br />MEDIA - BLANCA","1000.4 MEDIA BLANCA CALADA",1000,"1000.4 MEDIA BLANCA CALADA"
,coacoa-Art:1000.5,0702000060,,coacoa-Art-1000.5-0702000060,MEDIA,BLANCA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/Coa coa","1/2 CAÑA coacoa-Art:1000.5<br />MEDIA - BLANCA","1000.5 MEDIA BLANCA CALADA",1000,"1000.5 MEDIA BLANCA CALADA"
,coacoa-Art:1000.6,0702000070,,coacoa-Art-1000.6-0702000070,MEDIA,BLANCA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/Coa coa","1/2 CAÑA coacoa-Art:1000.6<br />MEDIA - BLANCA","1000.6 MEDIA BLANCA CALADA",1000,"1000.6 MEDIA BLANCA CALADA"
1210,coacoa-Art:1201COA,0702000080,,coacoa-Art-1201COA-0702000080,MEDIA,DAMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/Coa coa","1/2 CAÑA coacoa-Art:1201COA<br />","1201COA MEDIA DAMA 3/4",1000,"1201COA MEDIA DAMA 3/4"
1211,coacoa-Art:1202COA,0702000090,,coacoa-Art-1202COA-0702000090,MEDIA,DAMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/Coa coa","1/2 CAÑA coacoa-Art:1202COA<br />","1202COA MEDIA DAMA 3/4",1000,"1202COA MEDIA DAMA 3/4"
1212,coacoa-Art:1203COA,0702000100,,coacoa-Art-1203COA-0702000100,MEDIA,DAMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/Coa coa","1/2 CAÑA coacoa-Art:1203COA<br />","1203COA MEDIA DAMA 3/4",1000,"1203COA MEDIA DAMA 3/4"
1213,coacoa-Art:1204COA,0702000110,,coacoa-Art-1204COA-0702000110,MEDIA,DAMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/Coa coa","1/2 CAÑA coacoa-Art:1204COA<br />","1204COA MEDIA DAMA 3/4",1000,"1204COA MEDIA DAMA 3/4"
1220,coacoa-Art:1205COA,0702000120,,coacoa-Art-1205COA-0702000120,COMP/ESTAM,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/Coa coa","1/2 CAÑA coacoa-Art:1205COA<br />","1205COA COMP/ESTAM",1000,"1205COA COMP/ESTAM"
1221,coacoa-Art:1206COA,0702000130,,coacoa-Art-1206COA-0702000130,COMP/ESTAM,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/Coa coa","1/2 CAÑA coacoa-Art:1206COA<br />","1206COA COMP/ESTAM",1000,"1206COA COMP/ESTAM"
1222,coacoa-Art:1207COA,0702000140,,coacoa-Art-1207COA-0702000140,COMP/ESTAM,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/Coa coa","1/2 CAÑA coacoa-Art:1207COA<br />","1207COA COMP/ESTAM",1000,"1207COA COMP/ESTAM"
1223,coacoa-Art:1208COA,0702000150,,coacoa-Art-1208COA-0702000150,COMP/ESTAM,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/Coa coa","1/2 CAÑA coacoa-Art:1208COA<br />","1208COA COMP/ESTAM",1000,"1208COA COMP/ESTAM"
,coacoa-Art:1209COA,0702000160,,coacoa-Art-1209COA-0702000160,COMP/ESTAM,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/Coa coa","1/2 CAÑA coacoa-Art:1209COA<br />COMP/ESTAM - VARIOS","1209COA COMP/ESTAM",1000,"1209COA COMP/ESTAM"
